instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,40,1612782.71,1577670.95,475.86,31.86,708.19,17311.3,0.0,17311.3,16584.98,0.0,0,0,0,0.0,0.0,0.0,1577670.95,2,475.86
bf_qcv_045,period_2,2,35,1443935.97,1413081.19,0.0,36.27,624.93,15494.55,0.0,15494.55,14699.1,0.0,0,2,2,475.86,454.36,21.5,1413535.55,0,0.0
bf_qcv_045,period_3,3,45,1802439.21,1764001.37,63.05,20.2,794.52,18930.45,0.0,18930.45,18629.9,0.0,0,0,0,0.0,0.0,0.0,1764001.37,2,63.05
bf_qcv_045,period_4,4,30,1224890.42,1196920.71,66.55,31.02,531.74,14751.82,0.0,14751.82,12588.6,0.0,0,2,1,63.05,54.88,8.17,1196975.59,1,66.55
bf_qcv_045,period_5,5,50,1940969.19,1902987.03,0.0,51.49,890.68,17148.81,0.0,17148.81,19891.3,0.0,0,1,1,66.55,39.29,27.26,1903026.32,0,0.0
bf_sae1006_045,period_1,1,47,2031521.93,1947856.61,3060.62,157.58,823.0,36911.79,0.0,36911.79,19389.32,23322.69,1,0,0,0.0,0.0,0.0,1947856.61,7,26383.31
bf_sae1006_045,period_2,2,48,2009826.54,1934916.1,4118.41,47.37,835.36,42372.69,0.0,42372.69,19883.02,7653.41,1,7,7,26383.31,25985.46,397.84,1960901.56,6,11771.82
bf_sae1006_045,period_3,3,52,2253586.62,2168794.39,310.98,74.25,909.67,45005.51,0.0,45005.51,22547.99,15943.45,3,6,6,11771.82,11114.98,656.83,2179909.37,5,16254.44
bf_sae1006_045,period_4,4,36,1503442.67,1457937.24,2355.95,162.83,650.94,28339.86,0.0,28339.86,13996.1,0.0,0,5,5,16254.44,15083.76,1170.68,1473021.0,5,2356.0
bf_sae1006_045,period_5,5,60,2497938.38,2398765.8,17517.1,405.25,1073.89,51380.36,0.0,51380.36,23742.97,5052.98,1,5,5,2356.0,2174.53,181.47,2400940.33,4,22570.08
bf_sae1006_050,period_1,1,4,177663.5,139453.38,49.07,0.0,86.98,15851.25,15851.25,0.0,1306.21,20916.66,2,0,0,0.0,0.0,0.0,139453.38,7,36816.98
bf_sae1006_050,period_2,2,3,131588.05,99381.92,68.38,0.0,56.61,24542.14,24542.14,0.0,1042.39,6496.67,1,7,7,36816.98,34271.6,2545.39,133653.51,5,31107.19
bf_sae1006_050,period_3,3,3,131588.05,122471.01,2427.63,0.0,69.62,5523.23,4560.18,963.05,1096.52,0.0,0,5,5,31107.19,29481.74,1625.46,151952.74,8,6987.8
bf_sae1006_050,period_4,4,3,131588.05,115344.52,1763.57,0.0,65.18,13318.26,13318.26,0.0,1096.52,0.0,0,8,8,6987.8,6413.77,574.03,121758.3,5,15081.83
bf_sae1006_050,period_5,5,4,184056.61,177844.22,2512.28,0.0,95.65,2070.62,0.0,2070.62,1533.78,0.0,0,5,5,15081.83,13315.01,1766.82,191159.23,2,2512.28
bz_nbr7008_043,period_1,1,20,903950.79,809250.81,6370.57,87.48,357.66,73147.2,61566.94,11580.26,8749.39,5987.56,1,0,0,0.0,0.0,0.0,809250.81,13,73925.08
bz_nbr7008_043,period_2,2,19,816940.77,717927.38,1376.03,15.03,342.92,55464.41,36977.27,18487.14,7658.67,34156.39,4,13,12,73925.08,35212.11,38712.97,753139.49,11,72509.69
bz_nbr7008_043,period_3,3,18,850774.77,781134.73,1915.9,73.02,339.5,44949.86,16093.0,28856.86,8026.12,14335.48,3,11,11,72509.69,47621.46,24888.23,828756.19,9,32344.44
bz_nbr7008_043,period_4,4,17,721290.44,629163.65,1956.24,22.3,299.92,51877.33,41290.73,10586.6,6863.04,31108.0,4,9,8,32344.44,19418.39,12926.04,648582.05,12,74354.97
