
Gurobi 13.0.2 (linux64, Python) logging started Thu Aug 13 21:38:30 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_qcv_045/weighted_loss/retail_y_4__retail_v_2__rolled_leftover_2/period_4/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 62907 rows, 50324 columns and 167367 nonzeros (Min)
Model fingerprint: 0x54d6cc6d
Model has 20425 linear objective coefficients and an objective constant of 1.5033345175999998e+03
Variable types: 40564 continuous, 9760 integer (9760 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 7e+04]

Presolve removed 45121 rows and 36093 columns
Presolve time: 0.27s
Presolved: 17786 rows, 14231 columns, 75122 nonzeros
Variable types: 9403 continuous, 4828 integer (4828 binary)
Found heuristic solution: objective 2.422079e+07

Root relaxation: objective 1.331502e+06, 12125 iterations, 0.34 seconds (0.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1338242.86    0  222 1436712.72 1338242.86  6.85%     -    6s
     0     0 1338243.07    0  220 1436712.72 1338243.07  6.85%     -    6s
     0     0 1338395.77    0  216 1436712.72 1338395.77  6.84%     -    6s
     0     0 1338972.50    0  210 1436712.72 1338972.50  6.80%     -    6s
     0     0 1339057.08    0  212 1436712.72 1339057.08  6.80%     -    6s
     0     0 1339066.31    0  219 1436712.72 1339066.31  6.80%     -    6s
     0     0 1339066.62    0  212 1436712.72 1339066.62  6.80%     -    6s
     0     0 1341348.86    0  199 1436712.72 1341348.86  6.64%     -    6s
     0     0 1341782.56    0  189 1436712.72 1341782.56  6.61%     -    6s
     0     0 1341801.82    0  197 1436712.72 1341801.82  6.61%     -    6s
     0     0 1341804.63    0  196 1436712.72 1341804.63  6.61%     -    6s
     0     0 1342264.62    0  220 1436712.72 1342264.62  6.57%     -    6s
     0     0 1342560.73    0  181 1436712.72 1342560.73  6.55%     -    7s
     0     0 1342624.53    0  184 1436712.72 1342624.53  6.55%     -    7s
     0     0 1342727.62    0  187 1436712.72 1342727.62  6.54%     -    7s
     0     0 1342858.04    0  187 1436712.72 1342858.04  6.53%     -    7s
     0     0 1342946.91    0  173 1436712.72 1342946.91  6.53%     -    7s
     0     0 1342948.58    0  182 1436712.72 1342948.58  6.53%     -    7s
     0     0 1343464.04    0  166 1436712.72 1343464.04  6.49%     -    7s
     0     0 1343527.79    0  161 1436712.72 1343527.79  6.49%     -    7s
     0     0 1343529.67    0  157 1436712.72 1343529.67  6.49%     -    7s
     0     0 1343621.65    0  184 1436712.72 1343621.65  6.48%     -    7s
     0     0 1343627.42    0  179 1436712.72 1343627.42  6.48%     -    7s
     0     0 1343628.12    0  178 1436712.72 1343628.12  6.48%     -    7s
     0     0 1343674.89    0  190 1436712.72 1343674.89  6.48%     -    7s
     0     0 1343696.20    0  192 1436712.72 1343696.20  6.47%     -    8s
     0     0 1343703.64    0  192 1436712.72 1343703.64  6.47%     -    8s
     0     0 1343774.58    0  188 1436712.72 1343774.58  6.47%     -    8s
     0     0 1343786.82    0  185 1436712.72 1343786.82  6.47%     -    8s
     0     0 1343787.52    0  189 1436712.72 1343787.52  6.47%     -    8s
     0     0 1343868.57    0  197 1436712.72 1343868.57  6.46%     -    8s
     0     0 1343872.79    0  194 1436712.72 1343872.79  6.46%     -    8s
     0     0 1343930.58    0  185 1436712.72 1343930.58  6.46%     -    8s
     0     0 1343934.08    0  190 1436712.72 1343934.08  6.46%     -    9s
     0     0 1344099.15    0  188 1436712.72 1344099.15  6.45%     -    9s
     0     0 1344150.57    0  192 1436712.72 1344150.57  6.44%     -    9s
     0     0 1344151.21    0  192 1436712.72 1344151.21  6.44%     -    9s
     0     0 1344269.06    0  179 1436712.72 1344269.06  6.43%     -    9s
     0     0 1344312.16    0  183 1436712.72 1344312.16  6.43%     -    9s
     0     0 1344313.70    0  184 1436712.72 1344313.70  6.43%     -    9s
     0     0 1344421.21    0  190 1436712.72 1344421.21  6.42%     -    9s
     0     0 1344516.53    0  183 1436712.72 1344516.53  6.42%     -   10s
     0     0 1344545.31    0  189 1436712.72 1344545.31  6.42%     -   10s
     0     0 1344546.30    0  191 1436712.72 1344546.30  6.42%     -   10s
     0     0 1344927.24    0  179 1436712.72 1344927.24  6.39%     -   10s
     0     0 1345040.54    0  180 1436712.72 1345040.54  6.38%     -   10s
     0     0 1345095.57    0  173 1436712.72 1345095.57  6.38%     -   10s
     0     0 1345100.73    0  172 1436712.72 1345100.73  6.38%     -   10s
     0     0 1345303.43    0  184 1436712.72 1345303.43  6.36%     -   10s
     0     0 1345379.21    0  185 1436712.72 1345379.21  6.36%     -   10s
     0     0 1345449.02    0  160 1436712.72 1345449.02  6.35%     -   10s
     0     0 1345470.99    0  160 1436712.72 1345470.99  6.35%     -   10s
     0     0 1345472.57    0  159 1436712.72 1345472.57  6.35%     -   10s
     0     0 1345584.74    0  186 1436712.72 1345584.74  6.34%     -   11s
H    0     0                    1436543.4705 1345584.76  6.33%     -   11s
H    0     0                    1436531.2079 1345584.76  6.33%     -   11s
     0     0 1345787.22    0  202 1436531.21 1345787.22  6.32%     -   11s
     0     0 1345829.56    0  212 1436531.21 1345829.56  6.31%     -   11s
     0     0 1345862.05    0  201 1436531.21 1345862.05  6.31%     -   11s
     0     0 1345874.42    0  201 1436531.21 1345874.42  6.31%     -   11s
     0     0 1345885.77    0  209 1436531.21 1345885.77  6.31%     -   11s
     0     0 1345889.16    0  215 1436531.21 1345889.16  6.31%     -   11s
     0     0 1346271.53    0  209 1436531.21 1346271.53  6.28%     -   12s
     0     0 1346446.18    0  194 1436531.21 1346446.18  6.27%     -   12s
     0     0 1346449.64    0  196 1436531.21 1346449.64  6.27%     -   12s
     0     0 1346956.99    0  202 1436531.21 1346956.99  6.24%     -   12s
     0     0 1347277.32    0  198 1436531.21 1347277.32  6.21%     -   12s
     0     0 1347368.94    0  201 1436531.21 1347368.94  6.21%     -   12s
     0     0 1347414.81    0  209 1436531.21 1347414.81  6.20%     -   12s
     0     0 1347427.61    0  213 1436531.21 1347427.61  6.20%     -   12s
     0     0 1347428.80    0  208 1436531.21 1347428.80  6.20%     -   12s
     0     0 1347897.63    0  186 1436531.21 1347897.63  6.17%     -   12s
     0     0 1348013.49    0  202 1436531.21 1348013.49  6.16%     -   13s
     0     0 1348058.27    0  198 1436531.21 1348058.27  6.16%     -   13s
     0     0 1348079.35    0  192 1436531.21 1348079.35  6.16%     -   13s
     0     0 1348080.22    0  198 1436531.21 1348080.22  6.16%     -   13s
     0     0 1348337.70    0  193 1436531.21 1348337.70  6.14%     -   13s
     0     0 1348432.18    0  190 1436531.21 1348432.18  6.13%     -   14s
     0     0 1348469.94    0  183 1436531.21 1348469.94  6.13%     -   14s
     0     0 1348470.08    0  201 1436531.21 1348470.08  6.13%     -   14s
H    0     0                    1435568.9026 1348860.20  6.04%     -   14s
     0     0 1348860.20    0  195 1435568.90 1348860.20  6.04%     -   14s
H    0     0                    1429896.4724 1348950.84  5.66%     -   15s
H    0     0                    1427473.8510 1348950.84  5.50%     -   15s
     0     0 1348950.84    0  205 1427473.85 1348950.84  5.50%     -   15s
     0     0 1349004.72    0  198 1427473.85 1349004.72  5.50%     -   15s
     0     0 1349023.17    0  200 1427473.85 1349023.17  5.50%     -   15s
     0     0 1349023.91    0  209 1427473.85 1349023.91  5.50%     -   15s
H    0     0                    1425239.5899 1349423.93  5.32%     -   15s
     0     0 1349423.93    0  208 1425239.59 1349423.93  5.32%     -   15s
     0     0 1349577.83    0  213 1425239.59 1349577.83  5.31%     -   15s
     0     0 1349608.34    0  209 1425239.59 1349608.34  5.31%     -   15s
     0     0 1349631.11    0  208 1425239.59 1349631.11  5.30%     -   15s
H    0     0                    1425154.0763 1349637.36  5.30%     -   15s
     0     0 1349637.36    0  203 1425154.08 1349637.36  5.30%     -   15s
H    0     0                    1424438.0870 1350170.76  5.21%     -   15s
     0     0 1350170.76    0  209 1424438.09 1350170.76  5.21%     -   15s
     0     0 1350323.65    0  197 1424438.09 1350323.65  5.20%     -   15s
     0     0 1350345.60    0  199 1424438.09 1350345.60  5.20%     -   15s
     0     0 1350355.87    0  200 1424438.09 1350355.87  5.20%     -   16s
     0     0 1350356.73    0  197 1424438.09 1350356.73  5.20%     -   16s
     0     0 1350651.38    0  198 1424438.09 1350651.38  5.18%     -   16s
     0     0 1350711.79    0  209 1424438.09 1350711.79  5.18%     -   16s
     0     0 1350732.39    0  213 1424438.09 1350732.39  5.17%     -   16s
     0     0 1350732.51    0  207 1424438.09 1350732.51  5.17%     -   16s
     0     0 1351024.67    0  207 1424438.09 1351024.67  5.15%     -   16s
     0     0 1351131.41    0  202 1424438.09 1351131.41  5.15%     -   16s
     0     0 1351134.80    0  205 1424438.09 1351134.80  5.15%     -   16s
     0     0 1351406.78    0  189 1424438.09 1351406.78  5.13%     -   16s
     0     0 1351491.36    0  192 1424438.09 1351491.36  5.12%     -   16s
     0     0 1351519.90    0  198 1424438.09 1351519.90  5.12%     -   16s
     0     0 1351542.03    0  203 1424438.09 1351542.03  5.12%     -   16s
     0     0 1351546.14    0  202 1424438.09 1351546.14  5.12%     -   16s
     0     0 1352047.95    0  190 1424438.09 1352047.95  5.08%     -   17s
     0     0 1352297.88    0  181 1424438.09 1352297.88  5.06%     -   17s
     0     0 1352333.60    0  185 1424438.09 1352333.60  5.06%     -   17s
     0     0 1352357.04    0  176 1424438.09 1352357.04  5.06%     -   17s
     0     0 1352360.06    0  186 1424438.09 1352360.06  5.06%     -   17s
     0     0 1352863.29    0  207 1424438.09 1352863.29  5.02%     -   17s
     0     0 1352985.76    0  190 1424438.09 1352985.76  5.02%     -   17s
     0     0 1353105.29    0  185 1424438.09 1353105.29  5.01%     -   17s
     0     0 1353110.84    0  196 1424438.09 1353110.84  5.01%     -   17s
     0     0 1353540.59    0  202 1424438.09 1353540.59  4.98%     -   17s
     0     0 1353704.63    0  198 1424438.09 1353704.63  4.97%     -   18s
     0     0 1353738.07    0  209 1424438.09 1353738.07  4.96%     -   18s
     0     0 1353781.00    0  219 1424438.09 1353781.00  4.96%     -   18s
     0     0 1353797.34    0  220 1424438.09 1353797.34  4.96%     -   18s
     0     0 1353799.95    0  221 1424438.09 1353799.95  4.96%     -   18s
     0     0 1354401.24    0  191 1424438.09 1354401.24  4.92%     -   18s
     0     0 1354525.33    0  187 1424438.09 1354525.33  4.91%     -   18s
     0     0 1354548.09    0  197 1424438.09 1354548.09  4.91%     -   18s
     0     0 1354564.42    0  205 1424438.09 1354564.42  4.91%     -   18s
     0     0 1354564.57    0  205 1424438.09 1354564.57  4.91%     -   18s
     0     0 1355120.65    0  178 1424438.09 1355120.65  4.87%     -   19s
     0     0 1355361.48    0  195 1424438.09 1355361.48  4.85%     -   19s
     0     0 1355420.17    0  204 1424438.09 1355420.17  4.85%     -   19s
     0     0 1355425.13    0  202 1424438.09 1355425.13  4.84%     -   19s
     0     0 1355819.24    0  170 1424438.09 1355819.24  4.82%     -   19s
     0     0 1356026.95    0  167 1424438.09 1356026.95  4.80%     -   19s
     0     0 1356063.70    0  183 1424438.09 1356063.70  4.80%     -   19s
     0     0 1356093.20    0  177 1424438.09 1356093.20  4.80%     -   19s
     0     0 1356096.51    0  189 1424438.09 1356096.51  4.80%     -   19s
     0     0 1356482.28    0  179 1424438.09 1356482.28  4.77%     -   19s
     0     0 1356571.52    0  182 1424438.09 1356571.52  4.76%     -   20s
     0     0 1356594.65    0  171 1424438.09 1356594.65  4.76%     -   20s
     0     0 1356600.11    0  183 1424438.09 1356600.11  4.76%     -   20s
     0     0 1356756.99    0  188 1424438.09 1356756.99  4.75%     -   20s
     0     0 1356854.12    0  191 1424438.09 1356854.12  4.74%     -   20s
     0     0 1356935.71    0  184 1424438.09 1356935.71  4.74%     -   20s
     0     0 1356953.20    0  177 1424438.09 1356953.20  4.74%     -   20s
     0     0 1356954.81    0  177 1424438.09 1356954.81  4.74%     -   20s
     0     0 1357228.44    0  163 1424438.09 1357228.44  4.72%     -   20s
     0     0 1357268.63    0  184 1424438.09 1357268.63  4.72%     -   21s
     0     0 1357306.29    0  180 1424438.09 1357306.29  4.71%     -   21s
     0     0 1357316.94    0  184 1424438.09 1357316.94  4.71%     -   21s
     0     0 1357422.90    0  172 1424438.09 1357422.90  4.70%     -   21s
     0     0 1357440.18    0  186 1424438.09 1357440.18  4.70%     -   21s
     0     0 1357449.65    0  196 1424438.09 1357449.65  4.70%     -   21s
     0     0 1357546.89    0  203 1424438.09 1357546.89  4.70%     -   21s
     0     0 1357635.71    0  203 1424438.09 1357635.71  4.69%     -   21s
     0     0 1357635.71    0  203 1424438.09 1357635.71  4.69%     -   21s
     0     0 1357635.71    0  203 1424438.09 1357635.71  4.69%     -   22s
     0     2 1357635.71    0  203 1424438.09 1357635.71  4.69%     -   23s
H   49    72                    1424409.3602 1358224.17  4.65%  53.0   24s
   491   519 1358927.32   19  183 1424409.36 1358236.90  4.65%  14.2   25s
H 1161  1111                    1424409.3600 1358428.70  4.63%  15.1   26s
  3360  3299 1367761.39  108  127 1424409.36 1358584.16  4.62%  21.2   30s
  4970  4753 1382460.52  165  104 1424409.36 1358629.04  4.62%  25.0   35s
H 5773  5060                    1423233.8078 1358697.53  4.53%  26.1   40s
H 5802  4826                    1422658.0037 1360966.63  4.34%  25.9   44s
H 5802  4584                    1422609.7110 1360966.63  4.33%  25.9   44s
H 5802  4354                    1422604.7992 1360966.63  4.33%  25.9   44s
  5803  4354 1393820.14  133  138 1422604.80 1360966.63  4.33%  25.9   45s
  5840  4379 1372413.93    7  148 1422604.80 1371804.50  3.57%  25.8   50s
  5874  4402 1395660.77   97  152 1422604.80 1378118.88  3.13%  25.6   55s
H 5890  4189                    1422543.7102 1383696.69  2.73%  25.6   58s
H 5896  3982                    1422428.0103 1385110.10  2.62%  25.5   60s
H 5896  3780                    1422361.6195 1385110.10  2.62%  25.5   61s
H 5902  3593                    1422330.9776 1386517.31  2.52%  25.5   62s
  5921  3606 1389028.45   76  153 1422330.98 1389028.45  2.34%  25.4   65s
  5955  3629 1391249.92   35  184 1422330.98 1391249.92  2.19%  25.3   70s
  5990  3652 1393088.81   19  195 1422330.98 1393088.81  2.06%  25.1   75s
H 5996  3474                    1422297.8717 1393088.81  2.05%  30.7   77s
H 5996  3300                    1422235.7997 1393088.81  2.05%  30.7   77s
H 5997  3136                    1422027.1868 1393088.81  2.04%  30.7   77s
H 6009  2986                    1421846.3753 1393088.81  2.02%  30.7   79s
H 6013  2839                    1421740.6694 1393088.81  2.02%  30.6   79s
  6019  2843 1393088.81   66  175 1421740.67 1393088.81  2.02%  30.6   80s
H 6035  2710                    1421734.3590 1396087.48  1.80%  30.5   84s
  6041  2714 1396392.24    8  105 1421734.36 1396392.24  1.78%  30.5   85s
  6075  2737 1398368.93  119  150 1421734.36 1398368.93  1.64%  30.3   90s
H 6075  2599                    1421692.3261 1398377.42  1.64%  30.3   90s
H 6079  2470                    1421667.9766 1398559.60  1.63%  30.3   91s
  6093  2479 1399531.79   64  148 1421667.98 1399531.79  1.56%  30.2   95s
  6122  2498 1400829.57   19  185 1421667.98 1400829.57  1.47%  30.1  102s
  6136  2508 1401133.71   66  180 1421667.98 1401133.71  1.44%  30.0  105s
H 6145  2389                    1421661.6662 1401133.71  1.44%  34.2  109s
  6148  2391 1401133.71  115  149 1421661.67 1401133.71  1.44%  34.2  110s
H 6174  2288                    1421523.3520 1401549.10  1.41%  34.0  113s
  6184  2294 1402113.95   64  170 1421523.35 1402113.95  1.37%  34.0  115s

Cutting planes:
  Learned: 2
  Gomory: 147
  Lift-and-project: 128
  Cover: 1
  Implied bound: 11
  MIR: 731
  Flow cover: 680
  Relax-and-lift: 42

Explored 6201 nodes (258158 simplex iterations) in 120.00 seconds (118.44 work units)
Thread count was 24 (of 24 available processors)

Solution count 10: 1.42152e+06 1.42166e+06 1.42167e+06 ... 1.4223e+06

Time limit reached
Best objective 1.421523351963e+06, best bound 1.402811370221e+06, gap 1.3163%
