
Gurobi 13.0.2 (linux64, Python) logging started Thu Aug 13 21:11:08 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_sae1006_045/weighted_loss/retail_y_2__retail_v_4__rolled_leftover_4/period_4/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 171544 rows, 133322 columns and 514824 nonzeros (Min)
Model fingerprint: 0x26a3eaaa
Model has 54396 linear objective coefficients and an objective constant of 204894.1722672
Variable types: 109254 continuous, 24068 integer (24068 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+04]
  Objective range  [1e+01, 2e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 1e+05]

Presolve removed 118448 rows and 92358 columns
Presolve time: 1.42s
Presolved: 53096 rows, 40964 columns, 388764 nonzeros
Variable types: 26920 continuous, 14044 integer (14044 binary)
Found heuristic solution: objective 2.948828e+07
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...

Concurrent spin time: 0.27s (can be avoided by choosing Method=3)

Solved with primal simplex

Extra simplex iterations after uncrush: 2

Root relaxation: objective 1.572474e+06, 68988 iterations, 2.33 seconds (5.36 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    2070319.8251 1681035.92  18.8%     -   22s
H    0     0                    2068762.9331 1681035.92  18.7%     -   22s
H    0     0                    2047610.9200 1681035.92  17.9%     -   22s
H    0     0                    2013685.6409 1681035.92  16.5%     -   22s
H    0     0                    1999179.9757 1681035.92  15.9%     -   22s
H    0     0                    1998512.5644 1681035.92  15.9%     -   22s
     0     0 1681035.92    0  200 1998512.56 1681035.92  15.9%     -   22s
H    0     0                    1991468.5964 1681035.92  15.6%     -   22s
H    0     0                    1988682.1945 1681035.92  15.5%     -   23s
H    0     0                    1986744.0381 1681035.92  15.4%     -   23s
H    0     0                    1986470.4597 1681035.92  15.4%     -   23s
H    0     0                    1984879.5281 1681035.92  15.3%     -   23s
H    0     0                    1984392.9245 1681035.92  15.3%     -   23s
H    0     0                    1984149.6228 1681035.92  15.3%     -   23s
H    0     0                    1980218.2057 1681035.92  15.1%     -   24s
H    0     0                    1977809.3636 1681035.92  15.0%     -   24s
H    0     0                    1972603.8715 1681035.92  14.8%     -   24s
H    0     0                    1967526.8882 1681035.92  14.6%     -   24s
     0     0 1690269.65    0  218 1967526.89 1690269.65  14.1%     -   24s
H    0     0                    1941622.3683 1690269.65  12.9%     -   24s
     0     0 1690269.65    0  220 1941622.37 1690269.65  12.9%     -   24s
     0     0 1690269.68    0  223 1941622.37 1690269.68  12.9%     -   24s
     0     0 1690833.79    0  227 1941622.37 1690833.79  12.9%     -   25s
     0     0 1690834.09    0  234 1941622.37 1690834.09  12.9%     -   25s
     0     0 1690834.09    0  219 1941622.37 1690834.09  12.9%     -   25s
     0     0 1690834.09    0  230 1941622.37 1690834.09  12.9%     -   25s
