instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,40,1612391.73,1577697.02,66.79,12.67,707.72,17325.71,0.0,17325.71,16582.06,0.0,0,0,0,0.0,0.0,0.0,1577697.02,1,66.79
bf_qcv_045,period_2,2,35,1444412.4,1413460.55,129.22,8.48,624.88,15486.4,0.0,15486.4,14702.79,0.0,0,1,1,66.79,57.54,9.25,1413518.08,2,129.22
bf_qcv_045,period_3,3,44,1803941.83,1763920.31,148.4,33.6,776.17,20435.59,0.0,20435.59,18628.48,0.0,0,2,2,129.22,113.15,16.07,1764033.46,1,148.4
bf_qcv_045,period_4,4,29,1227241.13,1196909.45,1031.32,8.0,514.93,16178.84,0.0,16178.84,12598.86,0.0,0,1,1,148.4,136.16,12.24,1197045.61,2,1031.32
bf_qcv_045,period_5,5,49,1940122.95,1901988.77,233.63,10.42,873.18,17135.65,0.0,17135.65,19881.57,0.0,0,2,2,1031.32,1015.2,16.12,1903003.98,3,233.63
bf_sae1006_045,period_1,1,48,2017084.82,1950764.3,3814.08,55.42,824.02,41766.42,0.0,41766.42,19860.07,0.0,0,0,0,0.0,0.0,0.0,1950764.3,5,3814.08
bf_sae1006_045,period_2,2,48,2029169.7,1964325.73,4426.1,70.87,819.53,38843.09,0.0,38843.09,20683.91,0.0,0,5,5,3814.08,3263.66,550.41,1967589.39,7,4426.15
bf_sae1006_045,period_3,3,56,2266085.64,2177515.0,12498.31,10.52,971.98,52953.08,13113.46,39839.61,22136.6,0.0,0,7,7,4426.15,4098.96,327.19,2181613.96,6,25611.77
bf_sae1006_045,period_4,4,36,1506586.36,1452402.89,12076.68,26.37,646.33,27181.56,0.0,27181.56,14252.47,0.0,0,6,6,25611.77,23768.23,1843.55,1476171.11,7,12076.68
bf_sae1006_045,period_5,5,61,2489270.28,2408285.42,11535.93,69.92,1048.36,43254.79,0.0,43254.79,25075.23,0.0,0,7,7,12076.68,10639.69,1436.99,2418925.11,7,11535.93
bf_sae1006_050,period_1,1,4,177663.5,139453.33,713.85,0.0,76.08,35939.72,35939.72,0.0,1480.48,0.0,0,0,0,0.0,0.0,0.0,139453.33,6,36653.56
bf_sae1006_050,period_2,2,3,131588.05,99336.21,1571.54,0.0,56.61,29527.19,29527.19,0.0,1096.52,0.0,0,6,6,36653.56,34317.31,2336.26,133653.51,5,31098.72
bf_sae1006_050,period_3,3,3,131678.29,122360.37,1807.16,0.0,71.74,1425.63,0.0,1425.63,1056.02,4957.36,1,5,5,31098.72,29592.32,1506.41,151952.69,2,6764.52
bf_sae1006_050,period_4,4,3,131588.05,115116.85,1953.74,0.0,65.18,13355.71,13355.71,0.0,1096.52,0.0,0,2,2,6764.52,6641.34,123.18,121758.19,5,15309.45
bf_sae1006_050,period_5,5,4,184056.61,177654.1,2702.45,0.0,95.65,2070.62,0.0,2070.62,1533.78,0.0,0,5,5,15309.45,13505.23,1804.22,191159.34,2,2702.45
bz_nbr7008_043,period_1,1,20,891781.25,803239.46,12538.03,0.0,344.68,66708.27,46986.68,19721.59,8950.88,0.0,0,0,0,0.0,0.0,0.0,803239.46,18,59524.65
bz_nbr7008_043,period_2,2,18,809457.18,735541.59,7694.54,44.8,340.44,58197.69,39947.32,18250.37,7637.95,0.0,0,18,16,59524.65,22380.36,37144.29,757921.95,11,47641.86
bz_nbr7008_043,period_3,3,19,893250.59,811523.62,4368.48,0.0,361.64,68575.54,49612.36,18963.18,8421.38,0.0,0,11,9,47641.86,21863.93,25777.93,833387.54,15,53980.84
bz_nbr7008_043,period_4,4,15,736287.5,647548.38,16110.16,12.68,290.39,65564.72,50205.2,15359.51,6761.29,0.0,0,15,11,53980.84,15338.71,38642.13,662887.09,11,66315.37
bz_nbr7008_043,period_5,5,23,1081449.48,1001116.71,7752.37,45.38,467.94,62184.66,23376.65,38808.01,9882.31,0.0,0,11,11,66315.37,47691.82,18623.54,1048808.53,8,31129.03
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,9225.29,0.0,178.49,11129.3,10951.94,177.37,2153.03,0.0,0,0,0,0.0,0.0,0.0,192612.48,8,20177.17
bz_nbr7008_075,period_2,2,5,183179.88,155692.35,15186.02,0.0,147.86,10321.84,10208.2,113.64,1831.82,0.0,0,8,8,20177.17,10854.15,9323.03,166546.5,7,25394.21
bz_nbr7008_075,period_3,3,6,214525.88,177239.29,873.5,0.0,159.21,34108.67,33978.21,130.45,2145.32,0.0,0,7,7,25394.21,17372.78,8021.43,194612.08,7,34851.71
bz_nbr7008_075,period_4,4,5,175691.62,131695.7,18576.91,0.0,136.51,23525.6,23422.68,102.93,1756.95,0.0,0,7,6,34851.71,24926.59,9925.12,156622.29,8,41999.59
bz_nbr7008_075,period_5,5,6,217718.47,188567.06,9048.25,0.0,173.4,17752.63,17586.78,165.85,2177.23,0.0,0,8,8,41999.59,34457.51,7542.08,223024.57,8,26635.03
bz_nbr7008_095,period_1,1,6,315124.26,292911.56,942.96,0.0,227.7,17890.69,17111.24,779.45,3151.24,0.0,0,0,0,0.0,0.0,0.0,292911.56,6,18054.2
bz_nbr7008_095,period_2,2,6,310105.84,266555.96,6254.79,0.0,214.39,33979.63,33979.63,0.0,3101.06,0.0,0,6,6,18054.2,13510.88,4543.32,280066.85,8,40234.37
bz_nbr7008_095,period_3,3,7,369128.49,322158.82,11428.44,0.0,254.6,31595.39,31595.39,0.0,3691.29,0.0,0,8,8,40234.37,33864.67,6369.7,356023.49,10,43023.84
bz_nbr7008_095,period_4,4,5,248862.12,218356.09,3057.22,0.0,180.4,24779.77,24779.77,0.0,2488.64,0.0,0,10,10,43023.84,37176.44,5847.39,255532.54,9,27837.04
bz_nbr7008_095,period_5,5,6,312157.21,303373.07,748.49,0.0,236.58,4677.44,0.0,4677.44,3121.58,0.0,0,9,9,27837.04,24081.51,3755.54,327454.58,4,748.54
