instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,39,1613755.03,1577733.52,100.3,36.28,691.33,18611.85,0.0,18611.85,16581.81,0.0,0,0,0,0.0,0.0,0.0,1577733.52,1,100.3
bf_qcv_045,period_2,2,35,1444298.92,1413427.67,43.43,17.29,624.99,15483.78,0.0,15483.78,14701.91,0.0,0,1,1,100.3,88.06,12.24,1413515.72,1,43.43
bf_qcv_045,period_3,3,45,1802390.68,1763962.12,61.45,14.92,794.62,18928.18,0.0,18928.18,18629.02,0.0,0,1,1,43.43,35.26,8.17,1763997.39,2,61.45
bf_qcv_045,period_4,4,29,1226565.0,1196987.78,180.89,15.97,514.93,16276.06,0.0,16276.06,12589.64,0.0,0,2,1,61.45,49.21,12.24,1197036.99,3,180.89
bf_qcv_045,period_5,5,49,1940841.15,1902863.5,50.61,20.56,873.23,17143.39,0.0,17143.39,19890.24,0.0,0,3,3,180.89,156.6,24.29,1903020.11,2,50.61
bf_sae1006_045,period_1,1,47,2015369.05,1943627.82,1888.94,64.49,830.73,40816.15,0.0,40816.15,18989.98,9150.47,1,0,0,0.0,0.0,0.0,1943627.82,5,11039.41
bf_sae1006_045,period_2,2,48,2022998.42,1950490.12,5649.13,68.15,835.4,42059.77,0.0,42059.77,20034.78,3860.89,1,5,5,11039.41,10803.32,236.09,1961293.44,6,9510.02
bf_sae1006_045,period_3,3,54,2247433.46,2177815.57,6351.31,31.93,928.04,39939.82,0.0,39939.82,22366.37,0.0,0,6,6,9510.02,8836.29,673.73,2186651.86,6,6351.36
bf_sae1006_045,period_4,4,37,1540358.95,1475203.12,6130.95,2.48,650.52,27357.87,0.0,27357.87,14775.94,16237.65,1,6,6,6351.36,6251.99,99.37,1481455.11,6,22368.61
bf_sae1006_045,period_5,5,59,2478539.3,2395340.21,13466.2,74.59,1008.08,43761.07,0.0,43761.07,24888.48,0.0,0,6,6,22368.61,21686.51,682.1,2417026.72,4,13466.2
bf_sae1006_050,period_1,1,4,177663.5,139453.38,49.07,0.0,86.98,15851.2,15851.2,0.0,1306.21,20916.66,2,0,0,0.0,0.0,0.0,139453.38,7,36816.93
bf_sae1006_050,period_2,2,3,131588.05,99414.25,3499.2,0.0,65.39,11442.1,11442.1,0.0,961.51,16205.62,2,7,7,36816.93,34239.21,2577.72,133653.46,6,31146.91
bf_sae1006_050,period_3,3,3,131588.05,122484.23,2414.45,0.0,69.62,5523.23,4560.18,963.05,1096.52,0.0,0,6,6,31146.91,29468.51,1678.4,151952.74,3,6974.63
