scenario,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
NCV,new_coils_value,default,,,,601,4954788.97,25965257.06,4742618.56,24838783.15,44960.62,240669.80000000002,1121.77,5938.0,2254.89,11800.95,111269.05,591730.21,15101.11,78781.72,96167.94,512948.49,49054.32,257453.7,3509.38,18879.16,2,91,89,50421.97,269293.59,41114.63,219654.75,9307.34,49638.81,4783733.1899999995,25058437.919999998,110,63571.13,338330.79,63571.11,338330.68,157906.26,837779.95,157906.26,837779.95,95.72,1.28,3.0,81.54,18.46,0.86
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,622,4959001.61,26035145.18,4712115.76,24714017.7,29620.28,157258.55,86.66,447.06,2295.29,12038.74,145644.13,783830.11,70277.8,382876.14,75366.33,400953.97,48811.08,256490.86,20428.16,111060.9,12,154,151,99415.28,536945.0599999999,71617.46,385391.69,27797.82,151553.37,4783733.22,25099409.41,191,120326.26,651195.69,120326.24,651195.59,154357.18,821484.0,154357.18,821484.0,95.02,2.43,2.55,72.04,27.96,1.5
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,623,4962916.85,26067532.21,4703458.79,24680899.22,45461.950000000004,243547.94,174.58,948.27,2272.41,11917.23,162030.72,869826.94,92545.95,501165.87,69484.77,368661.09,49518.17,260391.49000000002,0.0,0.0,0,159,151,117267.19,632518.5499999999,80274.48,429590.0,36992.71,202928.53,4783733.2700000005,25110489.25,193,138007.88,744713.7,138007.9,744713.81,158442.64,844846.61,158442.64,844846.61,94.77,2.78,2.45,68.45,31.55,1.68
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,612,4953630.87,25993607.27,4701338.5,24645189.12,14417.78,76040.08,242.60000000000002,1236.93,2274.05,11920.31,140549.48,754310.13,64337.68,350645.83,76211.8,403664.31,48324.95,253820.82,46483.42,251089.36,29,154,150,110064.56,596718.28,82394.63,445014.24,27669.93,151704.06,4783733.13,25090203.37,177,125238.90000000001,677775.37,125238.88,677775.27,154723.33,822346.43,154723.33,822346.43,94.91,2.53,2.56,74.86,25.14,1.72
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,616,4956851.46,26066899.65,4703765.38,24709322.439999998,33364.59,178514.65,79.0,409.13,2262.85,11886.59,167402.99,903871.84,92621.93,505678.13,74781.06,398193.7,49016.75,257937.33,959.81,4957.36,1,167,158,113587.3,616165.51,79967.92,430668.14,33619.38,185497.39,4783733.3,25139990.59,199,126946.33,689150.12,126946.33,689150.14,159759.04,853924.14,159759.04,853924.14,94.89,2.56,2.54,70.4,29.6,1.67
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,616,4953277.58,25995833.37,4721225.7,24759688.27,41898.83,225038.83000000002,120.48,640.56,2307.61,12094.44,96851.97,516789.76,8138.62,43941.67,88713.35,472848.11,48462.18,254638.68,42410.56,226941.53,21,129,129,69785.43000000001,373207.22,62507.62,334048.43,7277.8099999999995,39158.77,4783733.32,25093736.74,177,92448.02,495922.08,92448.01,495922.03,146881.43,779380.56,146881.43,779380.56,95.32,1.87,2.82,89.57,10.43,1.31
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,614,4947376.55,26018394.54,4718951.76,24796438.71,82393.71,442611.6,165.48,913.62,2293.25,12048.3,94473.1,507975.32,7982.719999999999,43088.12,86490.38,464887.18,49098.45,258402.84,0.0,0.0,0,155,154,74086.47,398480.49,64781.16,348574.51,9305.31,49905.97,4783732.92,25145013.21,190,90376.46,485699.93,90376.43,485699.72,147352.87,786157.91,147352.87,786157.91,95.38,1.83,2.79,87.44,12.56,1.35
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,616,4943422.98,25951238.12,4712872.4399999995,24718764.93,15641.68,84347.57,79.11,408.71,2310.31,12116.32,102719.17,549921.7,15656.54,85024.48999999999,87062.63,464897.22,48085.69,252625.31,61714.520000000004,333053.3,34,128,128,81467.27,441159.93,70860.74,383903.52999999997,10606.53,57256.439999999995,4783733.18,25102668.46,160,93012.75,502425.41,93012.74,502425.36,148144.27,787304.0,148144.27,787304.0,95.34,1.88,2.78,86.98,13.02,1.48
WL-y4-v4-r4,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_4,4.0,4.0,4.0,609,4945730.92,25991610.05,4727205.2,24825288.24,30787.73,165548.28,131.12,695.31,2270.65,11924.92,109704.9,587800.15,19701.9,104856.72,90003.0,482943.42,48590.46,255561.77,27040.22,144787.99,15,131,130,63517.05,340435.71,56527.979999999996,302848.47,6989.07,37587.23,4783733.18,25128136.73,160,77529.88,415193.16000000003,77529.85,415192.99,147984.3,788712.65,147984.3,788712.65,95.58,1.57,2.85,89.0,11.0,1.18
