scenario,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,instance,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate,new_coils_weight_baseline_ncv,new_coils_weight_diff_from_ncv,new_coils_weight_pct_diff_from_ncv,new_coils_value_baseline_ncv,new_coils_value_diff_from_ncv,new_coils_value_pct_diff_from_ncv,total_strip_produced_weight_baseline_ncv,total_strip_produced_weight_diff_from_ncv,total_strip_produced_weight_pct_diff_from_ncv,processed_strip_produced_weight_baseline_ncv,processed_strip_produced_weight_diff_from_ncv,processed_strip_produced_weight_pct_diff_from_ncv,reusable_generated_weight_baseline_ncv,reusable_generated_weight_diff_from_ncv,reusable_generated_weight_pct_diff_from_ncv,total_scrap_weight_baseline_ncv,total_scrap_weight_diff_from_ncv,total_scrap_weight_pct_diff_from_ncv,total_scrap_value_baseline_ncv,total_scrap_value_diff_from_ncv,total_scrap_value_pct_diff_from_ncv,total_loss_weight_baseline_ncv,total_loss_weight_diff_from_ncv,total_loss_weight_pct_diff_from_ncv,total_loss_value_baseline_ncv,total_loss_value_diff_from_ncv,total_loss_value_pct_diff_from_ncv,new_production_rate_baseline_ncv,new_production_rate_diff_from_ncv,new_production_rate_pct_diff_from_ncv,new_reusable_rate_baseline_ncv,new_reusable_rate_diff_from_ncv,new_reusable_rate_pct_diff_from_ncv,new_scrap_rate_baseline_ncv,new_scrap_rate_diff_from_ncv,new_scrap_rate_pct_diff_from_ncv,processed_recovery_rate_baseline_ncv,processed_recovery_rate_diff_from_ncv,processed_recovery_rate_pct_diff_from_ncv,reuse_dependency_rate_baseline_ncv,reuse_dependency_rate_diff_from_ncv,reuse_dependency_rate_pct_diff_from_ncv
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,bz_nbr7008_075,27,185236.4,991989.0800000001,163008.16999999998,872951.14,7877.1,42183.91,13.9,74.44,150.84,807.79,7609.1,40748.71,7467.8,39992.01,141.3,756.7,1804.6599999999999,9664.42,4772.62,25558.63,3,27,27,15202.14,81411.41,11291.07,60466.61,3911.0699999999997,20944.8,174299.24,933417.75,33,20117.52,107734.55,20117.52,107734.55,6021.77,32248.15,6021.77,32248.15,88.0,10.86,1.14,74.27,25.73,6.48,184719.33000000002,517.0699999999779,0.28,989220.04,2769.0400000000373,0.28,174299.23,0.009999999980209395,0.0,8783.94,2507.129999999999,28.54,15483.48,4634.040000000001,29.93,8058.65,-2036.8799999999992,-25.28,43156.18,-10908.029999999999,-25.28,8058.65,-2036.8799999999992,-25.28,43156.18,-10908.029999999999,-25.28,89.6,-1.5999999999999943,-1.79,8.38,2.4799999999999986,29.59,2.01,-0.8699999999999999,-43.28,66.94,7.329999999999998,10.95,5.04,1.4400000000000004,28.57
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,bz_nbr7008_095,30,288483.44,1561402.19,265599.35,1437543.2,2385.77,12912.869999999999,0.0,0.0,211.72,1145.92,13141.779999999999,71129.22,11255.58,60920.26,1886.1999999999998,10208.96,2841.81,15381.15,4302.950000000001,23289.510000000002,2,23,23,16343.849999999999,88460.26999999999,13754.56,74445.87,2589.29,14014.41,279353.91,1511989.0699999998,28,17944.3,97122.62999999999,17944.3,97122.64,7529.02,40750.44,7529.02,40750.44,92.07,6.22,1.71,84.16,15.84,4.92,288066.3,417.14000000001397,0.14,1559144.4500000002,2257.739999999758,0.14,279353.96,-0.05000000004656613,-0.0,5583.54,8171.0199999999995,146.34,6419.44,11524.86,179.53,8414.03,-885.0100000000002,-10.52,45540.53,-4790.0899999999965,-10.52,8414.03,-885.0100000000002,-10.52,45540.53,-4790.0899999999965,-10.52,95.04,-2.970000000000013,-3.13,2.23,3.9899999999999998,178.92,2.73,-1.02,-37.36,91.22,-7.060000000000002,-7.74,2.0,2.92,146.0
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,bf_qcv_045,199,1550703.87,8026332.29,1517643.9100000001,7854015.48,248.60999999999999,1293.38,11.68,58.769999999999996,686.12,3530.76,16265.26,85043.23,0.0,0.0,16265.26,85043.23,15848.630000000001,82392.52,0.0,0.0,0,4,4,248.60999999999999,1293.38,239.14000000000001,1244.06,9.469999999999999,49.33,1517883.05,7855259.54,4,248.60999999999999,1293.38,248.61,1293.38,32821.16,171074.61,32821.16,171074.61,97.87,0.02,2.12,96.19,3.81,0.02,1551189.35,-485.4799999999814,-0.03,8028839.890000001,-2507.600000000559,-0.03,1517883.0499999998,2.3283064365386963e-10,0.0,30.18,208.96,692.38,33.58,215.03000000000003,640.35,33306.51,-485.34999999999854,-1.46,173535.82,-2461.210000000021,-1.42,33306.51,-485.34999999999854,-1.46,173535.82,-2461.210000000021,-1.42,97.85,0.020000000000010232,0.02,0.0,0.02,0.0,2.15,-0.029999999999999805,-1.4,89.87,6.319999999999993,7.03,0.0,0.02,0.0
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,bf_sae1006_045,251,2014685.15,10298844.989999998,1948797.6400000001,9962503.25,8378.89,41833.39,38.980000000000004,195.28,850.01,4336.52,36553.649999999994,187248.7,1928.42,9840.21,34625.229999999996,177408.49,20065.54,102725.54000000001,0.0,0.0,0,23,23,8411.310000000001,42250.94,8018.68,40262.58,392.63000000000005,1988.3700000000001,1956816.32,10002765.83,30,10307.310000000001,51673.59,10307.31,51673.6,55972.39,286654.2,55972.39,286654.2,96.73,0.51,2.76,95.33,4.67,0.41,2021416.46,-6731.310000000056,-0.33,10276180.28,22664.70999999903,0.22,1956816.27,0.05000000004656613,0.0,3934.82,4083.86,103.79,5402.71,4904.599999999999,90.78,63261.18,-7288.790000000001,-11.52,321531.17,-34876.96999999997,-10.85,63261.18,-7288.790000000001,-11.52,321531.17,-34876.96999999997,-10.85,96.61,0.12000000000000455,0.12,0.27,0.24,88.89,3.12,-0.3600000000000003,-11.54,96.82,-1.4899999999999949,-1.54,0.2,0.20999999999999996,105.0
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,bf_sae1006_050,17,146482.73,756574.5,117996.06,609442.5700000001,2508.19,12954.66,0.0,0.0,65.72,339.44,24692.079999999998,127533.11,24291.18,125462.49,400.9,2070.62,1220.65,6304.59,0.0,0.0,0,21,21,26273.2,135699.5,24885.97,128534.54,1387.23,7164.96,142882.03,737977.11,23,26799.37,138417.14,26799.37,138417.15,3074.5,15879.61,3074.5,15879.61,80.55,18.3,1.15,94.72,5.28,17.42,155518.83000000002,-9036.100000000006,-5.81,803245.4199999999,-46670.919999999925,-5.81,142882.04,-0.010000000009313226,-0.0,12614.259999999998,12271.710000000003,97.28,22706.07,4093.2999999999993,18.03,5474.06,-2399.5600000000004,-43.84,28273.17,-12393.559999999998,-43.84,5474.06,-2399.5600000000004,-43.84,28273.17,-12393.559999999998,-43.84,83.76,-3.210000000000008,-3.83,14.6,3.700000000000001,25.34,1.64,-0.49,-29.88,81.15,13.569999999999993,16.72,8.83,8.590000000000002,97.28
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,bz_nbr7008_043,98,773709.26,4413018.609999999,696018.74,3974495.1100000003,10763.26,60878.89,118.06,662.5,305.68,1744.36,58893.49,331996.32,42741.47,238899.71000000002,16152.02,93096.61,7609.96,43241.05,0.0,0.0,0,53,46,42826.38,240735.9,16479.95,94584.66,26346.43,146151.22,712498.69,4069079.78,67,53504.729999999996,299778.63,53504.73,299778.6,50532.15,284895.74,50532.15,284895.74,89.96,6.92,3.13,38.48,61.52,2.31,753878.7,19830.560000000056,2.63,4308626.98,104391.62999999896,2.42,712498.64,0.04999999993015081,0.0,10167.89,6312.060000000001,62.08,13525.83,39978.9,295.57,39391.83,11140.32,28.28,225743.08,59152.66,26.2,39391.83,11140.32,28.28,225743.08,59152.66,26.2,93.16,-3.200000000000003,-3.43,1.79,5.13,286.59,5.04,-1.9100000000000001,-37.9,88.13,-49.65,-56.34,1.43,0.8800000000000001,61.54
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,bz_nbr7008_075,28,188749.0,1010799.97,158012.7,846199.1,16540.36,88577.93,0.0,0.0,153.01,819.41,12155.42,65095.43,12039.39,64474.07,116.03,621.38,1887.52,10108.16,0.0,0.0,0,30,29,22636.29,121223.22,16286.56,87218.76000000001,6349.73,34004.45,174299.26,933417.86,38,28579.739999999998,153051.94,28579.75,153052.0,8506.29,45553.4,8506.29,45553.4,83.72,15.14,1.14,71.95,28.05,9.34,184719.33000000002,4029.6699999999837,2.18,989220.04,21579.929999999935,2.18,174299.23,0.029999999998835847,0.0,8783.94,7502.619999999999,85.41,15483.48,13096.27,84.58,8058.65,447.64000000000124,5.55,43156.18,2397.220000000001,5.55,8058.65,447.64000000000124,5.55,43156.18,2397.220000000001,5.55,89.6,-5.8799999999999955,-6.56,8.38,6.76,80.67,2.01,-0.8699999999999999,-43.28,66.94,5.010000000000005,7.48,5.04,4.3,85.32
WL-y2-v2-r4,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_4,2.0,2.0,4.0,bz_nbr7008_095,30,288586.83999999997,1561961.85,264989.74,1434243.71,7022.639999999999,38009.69,5.86,31.72,211.87,1146.74,13470.82,72910.15,11545.49,62489.39,1925.33,10420.76,2885.87,15619.63,0.0,0.0,0,28,28,16871.4,91315.61,14364.18,77745.4,2507.2200000000003,13570.199999999999,279353.92000000004,1511989.13,31,18568.12,100499.01999999999,18568.13,100499.08,7536.15,40789.05,7536.15,40789.05,91.82,6.43,1.74,85.14,14.86,5.14,288066.3,520.539999999979,0.18,1559144.4500000002,2817.399999999907,0.18,279353.96,-0.03999999997904524,-0.0,5583.54,8780.64,157.26,6419.44,12148.690000000002,189.25,8414.03,-877.880000000001,-10.43,45540.53,-4751.479999999996,-10.43,8414.03,-877.880000000001,-10.43,45540.53,-4751.479999999996,-10.43,95.04,-3.220000000000013,-3.39,2.23,4.199999999999999,188.34,2.73,-0.99,-36.26,91.22,-6.079999999999998,-6.67,2.0,3.1399999999999997,157.0
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,bf_qcv_045,200,1550451.63,8025017.5,1517771.88,7854661.25,122.00999999999999,605.46,34.01,170.84,689.79,3550.06,15985.26,83636.93,0.0,0.0,15985.26,83636.93,15848.84,82393.88,0.0,0.0,0,5,4,122.00999999999999,605.46,111.04,548.53,10.969999999999999,56.93,1517882.92,7855209.78,5,122.00999999999999,605.46,122.01,605.46,32568.87,169808.64,32568.87,169808.64,97.89,0.01,2.1,91.01,8.99,0.01,1551189.35,-737.7200000002049,-0.05,8028839.890000001,-3822.390000000596,-0.05,1517883.0499999998,-0.1299999998882413,-0.0,30.18,80.86000000000001,267.93,33.58,88.43,263.34,33306.51,-737.640000000003,-2.21,173535.82,-3727.179999999993,-2.15,33306.51,-737.640000000003,-2.21,173535.82,-3727.179999999993,-2.15,97.85,0.04000000000000625,0.04,0.0,0.01,0.0,2.15,-0.04999999999999982,-2.33,89.87,1.1400000000000006,1.27,0.0,0.01,0.0
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,bf_sae1006_045,243,2022499.16,10296316.14,1945976.83,9908270.14,5493.53,27363.059999999998,169.12,847.28,844.75,4292.860000000001,40127.42,204010.21000000002,0.0,0.0,40127.42,204010.21000000002,19525.940000000002,99559.4,10361.460000000001,51972.53,6,23,23,11323.109999999999,56765.57,10839.52,54358.729999999996,483.59000000000003,2406.8199999999997,1956816.35,9962628.870000001,27,15855.0,79335.65,15854.99,79335.59,61150.82,311116.57,61150.82,311116.57,96.22,0.78,3.0,95.73,4.27,0.55,2021416.46,1082.6999999999534,0.05,10276180.28,20135.860000001267,0.2,1956816.27,0.0800000000745058,0.0,3934.82,6904.700000000001,175.48,5402.71,10452.279999999999,193.46,63261.18,-2110.3600000000006,-3.34,321531.17,-10414.599999999977,-3.24,63261.18,-2110.3600000000006,-3.34,321531.17,-10414.599999999977,-3.24,96.61,-0.39000000000000057,-0.4,0.27,0.51,188.89,3.12,-0.1200000000000001,-3.85,96.82,-1.0899999999999892,-1.13,0.2,0.35000000000000003,175.0
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,bf_sae1006_050,17,146465.26,756484.26,126718.81,654495.05,1320.62,6820.93,0.0,0.0,72.42,374.04,11869.550000000001,61305.5,11282.19,58271.83,587.36,3033.67,1176.28,6075.42,5307.58,27413.33,3,25,25,17423.98,89993.8,16163.23,83482.12,1260.75,6511.7,142882.04,737977.16,27,17910.39,92506.08,17910.39,92506.09,3096.81,15994.83,3096.81,15994.83,86.52,12.23,1.25,92.76,7.24,11.31,155518.83000000002,-9053.570000000007,-5.82,803245.4199999999,-46761.159999999916,-5.82,142882.04,0.0,0.0,12614.259999999998,3548.970000000001,28.13,22706.07,-4795.68,-21.12,5474.06,-2377.2500000000005,-43.43,28273.17,-12278.339999999998,-43.43,5474.06,-2377.2500000000005,-43.43,28273.17,-12278.339999999998,-43.43,83.76,2.759999999999991,3.3,14.6,-2.369999999999999,-16.23,1.64,-0.3899999999999999,-23.78,81.15,11.61,14.31,8.83,2.4800000000000004,28.09
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,bz_nbr7008_043,95,760786.26,4363945.65,686272.55,3938898.38,2589.94,14926.45,36.980000000000004,205.47,307.96000000000004,1768.2,48615.8,276156.26,30225.3,169233.84,18390.5,106922.42,7189.99,41081.49,15772.99,90909.12,13,45,42,44764.94,253134.18,26226.12,150082.35,18538.82,103051.83,712498.6699999999,4088980.73,52,48588.24,275069.47000000003,48588.23,275069.41,44464.25,253029.41,44464.25,253029.41,90.21,6.39,3.41,58.59,41.41,3.68,753878.7,6907.560000000056,0.92,4308626.98,55318.669999999925,1.28,712498.64,0.029999999911524355,0.0,10167.89,16058.23,157.93,13525.83,35062.4,259.23,39391.83,5072.419999999998,12.88,225743.08,27286.330000000016,12.09,39391.83,5072.419999999998,12.88,225743.08,27286.330000000016,12.09,93.16,-2.950000000000003,-3.17,1.79,4.6,256.98,5.04,-1.63,-32.34,88.13,-29.539999999999992,-33.52,1.43,2.25,157.34
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,bz_nbr7008_075,27,184729.83000000002,989276.28,161802.02000000002,866491.88,2654.18,14213.82,2.49,13.34,150.84,807.79,7602.72,40714.55,7468.24,39994.369999999995,134.48,720.1800000000001,1739.54,9315.68,10777.99,57718.94,5,29,29,16770.34,89809.53,12497.21,66925.81,4273.13,22883.73,174299.23,933417.7,35,20900.41,111927.13,20900.41,111927.13,6300.48,33740.72,6300.48,33740.72,87.59,11.31,1.1,74.52,25.48,7.17,184719.33000000002,10.5,0.01,989220.04,56.23999999999069,0.01,174299.23,0.0,0.0,8783.94,3713.2699999999986,42.27,15483.48,5416.93,34.99,8058.65,-1758.17,-21.82,43156.18,-9415.46,-21.82,8058.65,-1758.17,-21.82,43156.18,-9415.46,-21.82,89.6,-2.009999999999991,-2.24,8.38,2.9299999999999997,34.96,2.01,-0.9099999999999997,-45.27,66.94,7.579999999999998,11.32,5.04,2.13,42.26
WL-y2-v4-r2,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_2,2.0,4.0,2.0,bz_nbr7008_095,30,288698.73,1562567.44,262796.41,1422372.42,2237.5,12110.359999999999,0.0,0.0,208.29000000000002,1127.3600000000001,16348.73,88486.68000000001,15361.95,83145.79,986.78,5340.9,2844.36,15394.95,4263.4,23075.440000000002,2,27,27,19660.18,106409.73999999999,16557.510000000002,89616.7,3102.67,16793.05,279353.92,1511989.13,31,21862.85,118331.58,21862.85,118331.59,7142.1,38656.26,7142.1,38656.26,91.03,7.57,1.4,84.22,15.78,5.93,288066.3,632.429999999993,0.22,1559144.4500000002,3422.989999999758,0.22,279353.96,-0.0400000000372529,-0.0,5583.54,10973.970000000001,196.54,6419.44,15443.41,240.57,8414.03,-1271.9300000000003,-15.12,45540.53,-6884.269999999997,-15.12,8414.03,-1271.9300000000003,-15.12,45540.53,-6884.269999999997,-15.12,95.04,-4.010000000000005,-4.22,2.23,5.34,239.46,2.73,-1.33,-48.72,91.22,-7.0,-7.67,2.0,3.9299999999999997,196.5
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,bf_qcv_045,197,1551051.55,8028110.04,1517627.01,7853976.1,313.96,1609.3600000000001,14.34,73.17,679.72,3496.88,16567.79,86562.19,0.0,0.0,16567.79,86562.19,15848.98,82393.76000000001,0.0,0.0,0,6,6,266.64,1375.73,255.98000000000002,1322.0500000000002,10.66,53.68,1517882.99,7855298.15,9,313.96,1609.3600000000001,313.96,1609.36,33121.49,172579.68,33121.49,172579.68,97.85,0.02,2.13,96.0,4.0,0.02,1551189.35,-137.80000000004657,-0.01,8028839.890000001,-729.8500000005588,-0.01,1517883.0499999998,-0.05999999982304871,-0.0,30.18,225.8,748.18,33.58,280.38,834.96,33306.51,-185.02000000000407,-0.56,173535.82,-956.140000000014,-0.55,33306.51,-185.02000000000407,-0.56,173535.82,-956.140000000014,-0.55,97.85,0.0,0.0,0.0,0.02,0.0,2.15,-0.020000000000000018,-0.93,89.87,6.1299999999999955,6.82,0.0,0.02,0.0
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,bf_sae1006_045,249,2018119.3699999999,10308196.8,1948410.48,9953293.34,8919.630000000001,44351.1,46.15,233.10000000000002,845.2,4310.219999999999,39956.04,203998.94,2650.55,13113.46,37305.490000000005,190885.47,19941.52,102008.28,0.0,0.0,0,25,25,9241.19,45928.68,8405.85,41770.54,835.34,4158.139999999999,1956816.33,9995063.870000001,32,11570.19,57464.61,11570.18,57464.56,58973.7,301595.21,58973.7,301595.21,96.55,0.57,2.88,90.96,9.04,0.43,2021416.46,-3297.090000000084,-0.16,10276180.28,32016.520000001416,0.31,1956816.27,0.060000000055879354,0.0,3934.82,4471.030000000001,113.63,5402.71,6167.47,114.16,63261.18,-4287.480000000003,-6.78,321531.17,-19935.959999999963,-6.2,63261.18,-4287.480000000003,-6.78,321531.17,-19935.959999999963,-6.2,96.61,-0.060000000000002274,-0.06,0.27,0.29999999999999993,111.11,3.12,-0.2400000000000002,-7.69,96.82,-5.859999999999999,-6.05,0.2,0.22999999999999998,115.0
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,bf_sae1006_050,17,146482.72999999998,756574.5,126607.64000000001,653920.86,1693.87,8748.74,0.0,0.0,70.72,365.26,15938.01,82318.87,15261.09,78822.62,676.92,3496.25,1212.6599999999999,6263.32,959.81,4957.36,1,18,18,17391.54,89826.25,16274.38,84056.2,1117.16,5770.070000000001,142882.02,737977.06,20,17914.77,92528.7,17914.77,92528.72,3077.46,15894.9,3077.46,15894.9,86.43,12.23,1.34,93.58,6.42,11.39,155518.83000000002,-9036.100000000035,-5.81,803245.4199999999,-46670.919999999925,-5.81,142882.04,-0.02000000001862645,-0.0,12614.259999999998,3660.120000000001,29.02,22706.07,-4791.299999999999,-21.1,5474.06,-2396.6000000000004,-43.78,28273.17,-12378.269999999999,-43.78,5474.06,-2396.6000000000004,-43.78,28273.17,-12378.269999999999,-43.78,83.76,2.6700000000000017,3.19,14.6,-2.369999999999999,-16.23,1.64,-0.2999999999999998,-18.29,81.15,12.429999999999993,15.32,8.83,2.5600000000000005,28.99
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,bz_nbr7008_043,95,765897.3400000001,4412226.0,693897.9299999999,3998969.76,8412.63,48463.58,18.509999999999998,102.86,312.90999999999997,1805.09,55994.81,321230.88,36901.049999999996,210128.21,19093.760000000002,111102.66,7260.54,41653.81,0.0,0.0,0,55,47,39966.11,227462.72,18600.86,107274.82,21365.25,120187.89,712498.79,4106244.57,63,45313.67,258591.75,45313.68,258591.79,48050.97,274852.31,48050.97,274852.31,90.6,5.92,3.48,46.54,53.46,2.61,753878.7,12018.64000000013,1.59,4308626.98,103599.01999999955,2.4,712498.64,0.15000000002328306,0.0,10167.89,8432.970000000001,82.94,13525.83,31787.85,235.02,39391.83,8659.14,21.98,225743.08,49109.23000000001,21.75,39391.83,8659.14,21.98,225743.08,49109.23000000001,21.75,93.16,-2.5600000000000023,-2.75,1.79,4.13,230.73,5.04,-1.56,-30.95,88.13,-41.589999999999996,-47.19,1.43,1.18,82.52
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,bz_nbr7008_075,28,187930.07,1006414.39,157939.46000000002,845806.88,9880.0,52909.97,0.0,0.0,148.54,795.47,18082.79,96838.04,17953.9,96147.81,128.89,690.24,1879.3400000000001,10064.35,0.0,0.0,0,30,29,22860.27,122422.68,16359.810000000001,87611.03,6500.46,34811.66,174299.27000000002,933417.92,38,27833.89,149057.71,27833.9,149057.78,8657.23,46361.72,8657.23,46361.72,84.04,14.81,1.15,71.56,28.44,9.39,184719.33000000002,3210.7399999999907,1.74,989220.04,17194.349999999977,1.74,174299.23,0.04000000000814907,0.0,8783.94,7575.870000000001,86.25,15483.48,12350.420000000002,79.77,8058.65,598.5799999999999,7.43,43156.18,3205.540000000001,7.43,8058.65,598.5799999999999,7.43,43156.18,3205.540000000001,7.43,89.6,-5.559999999999988,-6.21,8.38,6.43,76.73,2.01,-0.8599999999999999,-42.79,66.94,4.6200000000000045,6.9,5.04,4.3500000000000005,86.31
WL-y2-v4-r4,weighted_loss,retail_y_2__retail_v_4__rolled_leftover_4,2.0,4.0,4.0,bz_nbr7008_095,30,287370.4,1555377.92,259282.86,1403355.5,4144.500000000001,22431.9,0.0,0.0,205.76,1113.67,20863.55,112922.92,19855.34,107466.03,1008.21,5456.889999999999,2873.71,15553.81,0.0,0.0,0,33,33,23861.55,129149.45,20071.04,108633.5,3790.5099999999998,20515.95,279353.9,1511989.02,37,23999.85,129897.98999999999,23999.84,129897.93,7878.19,42640.32,7878.19,42640.32,90.23,8.35,1.42,84.11,15.89,7.18,288066.3,-695.8999999999651,-0.24,1559144.4500000002,-3766.5300000002608,-0.24,279353.96,-0.059999999997671694,-0.0,5583.54,14487.5,259.47,6419.44,17580.4,273.86,8414.03,-535.840000000001,-6.37,45540.53,-2900.209999999999,-6.37,8414.03,-535.840000000001,-6.37,45540.53,-2900.209999999999,-6.37,95.04,-4.810000000000002,-5.06,2.23,6.119999999999999,274.44,2.73,-1.31,-47.99,91.22,-7.109999999999999,-7.79,2.0,5.18,259.0
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,bf_qcv_045,199,1550510.2,8025319.41,1517675.7,7854195.83,291.6,1443.95,22.86,119.25,686.19,3531.0699999999997,15984.57,83633.25,0.0,0.0,15984.57,83633.25,15849.44,82396.98,0.0,0.0,0,6,6,221.51,1080.91,207.33,1011.0799999999999,14.18,69.83,1517883.03,7855206.91,9,291.6,1443.95,291.6,1443.95,32557.24,169750.38,32557.24,169750.38,97.88,0.02,2.1,93.6,6.4,0.01,1551189.35,-679.1500000001397,-0.04,8028839.890000001,-3520.480000000447,-0.04,1517883.0499999998,-0.019999999785795808,-0.0,30.18,177.15,586.98,33.58,258.02000000000004,768.37,33306.51,-749.2700000000004,-2.25,173535.82,-3785.4400000000023,-2.18,33306.51,-749.2700000000004,-2.25,173535.82,-3785.4400000000023,-2.18,97.85,0.030000000000001137,0.03,0.0,0.02,0.0,2.15,-0.04999999999999982,-2.33,89.87,3.7299999999999898,4.15,0.0,0.01,0.0
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,bf_sae1006_045,250,2020274.9,10293774.79,1945854.18,9916335.719999999,10845.69,54118.53,26.15,130.71,860.93,4378.610000000001,39730.91,202183.19,0.0,0.0,39730.91,202183.19,19618.67,100111.51000000001,3338.21,16515.62,2,25,25,11168.81,55708.33,10962.15,54682.02,206.66000000000003,1026.31,1956816.33,9971017.73,32,14183.900000000001,70634.16,14183.9,70634.15,60443.32,307830.33,60443.32,307830.33,96.32,0.7,2.98,98.15,1.85,0.56,2021416.46,-1141.5600000000559,-0.06,10276180.28,17594.509999999776,0.17,1956816.27,0.060000000055879354,0.0,3934.82,7027.33,178.59,5402.71,8781.189999999999,162.53,63261.18,-2817.8600000000006,-4.45,321531.17,-13700.839999999967,-4.26,63261.18,-2817.8600000000006,-4.45,321531.17,-13700.839999999967,-4.26,96.61,-0.29000000000000625,-0.3,0.27,0.42999999999999994,159.26,3.12,-0.14000000000000012,-4.49,96.82,1.3300000000000125,1.37,0.2,0.36000000000000004,180.0
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,bf_sae1006_050,17,147267.63,760628.46,126597.79000000001,653869.98,2882.52,14888.039999999999,0.0,0.0,78.59,405.92,1619.09,8362.51,0.0,0.0,1619.09,8362.51,1102.31,5693.37,14987.32,77408.61,5,8,8,16611.02,85794.92,16284.27,84107.27,326.75,1687.65,142882.06,737977.27,13,17869.86,92296.75,17869.84,92296.65,3126.74,16149.45,3126.74,16149.45,85.96,12.13,1.9,98.03,1.97,11.4,155518.83000000002,-8251.200000000012,-5.31,803245.4199999999,-42616.95999999996,-5.31,142882.04,0.01999999998952262,0.0,12614.259999999998,3670.010000000002,29.09,22706.07,-4836.23,-21.3,5474.06,-2347.3200000000006,-42.88,28273.17,-12123.719999999998,-42.88,5474.06,-2347.3200000000006,-42.88,28273.17,-12123.719999999998,-42.88,83.76,2.1999999999999886,2.63,14.6,-2.469999999999999,-16.92,1.64,0.26,15.85,81.15,16.879999999999995,20.8,8.83,2.5700000000000003,29.11
