instance,period,period_number,coil_id,processed,used,coil_width,coil_weight,coil_ton_value,used_length,strip_count,strip_produced_weight,strip_leftover_weight,strip_retail_weight,strip_scrap_weight,strip_loss_weight,lateral_leftover_weight,lateral_leftover_retail_weight,lateral_leftover_scrap_weight,edge_trim_weight,rolled_leftover_weight,rolled_leftover_width,rolled_leftover_length,processed_scrap_weight
bf_qcv_045,period_1,1,4,0,1,1200.0,8025.79,4819.73,1888.51,2,7914.59,0.0,0.0,0.0,4.19,40.13,0.0,40.13,66.88,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,55,0,1,1200.0,7683.09,4819.73,1807.87,2,7576.46,0.0,0.0,0.0,4.19,38.42,0.0,38.42,64.03,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,60,0,1,1200.0,7644.47,4819.73,1798.78,2,7493.98,44.37,44.0,0.37,4.19,38.22,0.0,38.22,63.7,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,7,0,1,1200.0,8064.92,4819.73,1897.72,2,7953.19,0.0,0.0,0.0,4.19,40.32,0.0,40.32,67.21,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,72,0,1,1200.0,8036.24,4819.73,1890.97,2,7924.9,0.0,0.0,0.0,4.19,40.18,0.0,40.18,66.97,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,74,0,1,1200.0,8054.77,4819.73,1895.33,2,7943.18,0.0,0.0,0.0,4.19,40.27,0.0,40.27,67.12,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,83,0,1,1200.0,7994.35,4819.73,1881.11,2,7883.57,0.0,0.0,0.0,4.19,39.97,0.0,39.97,66.62,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,87,0,1,1200.0,7602.58,4819.73,1788.93,2,7497.02,0.0,0.0,0.0,4.19,38.01,0.0,38.01,63.35,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,92,0,1,1000.0,8593.93,5288.27,2426.64,2,8023.42,0.0,0.0,0.0,3.31,481.26,0.0,481.26,85.94,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,114,0,1,1000.0,9764.95,5288.27,2757.29,2,9380.71,0.0,0.0,0.0,3.4,283.18,0.0,283.18,97.65,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,123,0,1,1000.0,8934.09,5288.27,2522.69,2,8582.26,0.0,0.0,0.0,3.4,259.09,0.0,259.09,89.34,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,126,0,1,1000.0,9551.22,5288.27,2696.94,2,9433.11,0.0,0.0,0.0,3.5,19.1,0.0,19.1,95.51,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,136,0,1,1000.0,9049.37,5288.27,2555.24,2,8937.28,0.0,0.0,0.0,3.5,18.1,0.0,18.1,90.49,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,142,0,1,1000.0,8859.15,5288.27,2501.52,2,8510.24,0.0,0.0,0.0,3.4,256.92,0.0,256.92,88.59,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,147,0,1,1000.0,6865.85,5288.27,1938.68,2,6594.68,0.0,0.0,0.0,3.4,199.11,0.0,199.11,68.66,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,157,0,1,1000.0,9296.83,5288.27,2625.11,2,8679.93,0.0,0.0,0.0,3.31,520.62,0.0,520.62,92.97,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,163,0,1,1000.0,8742.76,5288.27,2468.66,2,8398.39,0.0,0.0,0.0,3.4,253.54,0.0,253.54,87.43,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,178,0,1,880.0,7891.48,5302.87,2532.14,2,7762.87,0.0,0.0,0.0,3.07,35.87,0.0,35.87,89.68,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,180,0,1,880.0,8764.2,5302.87,2812.18,2,8651.57,0.0,0.0,0.0,3.08,9.96,0.0,9.96,99.59,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,193,0,1,880.0,7037.51,5302.87,2258.13,2,6946.46,0.0,0.0,0.0,3.08,8.0,0.0,8.0,79.97,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,198,0,1,880.0,6995.92,5302.87,2244.79,2,6905.39,0.0,0.0,0.0,3.08,7.95,0.0,7.95,79.5,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,199,0,1,880.0,6930.11,5302.87,2223.67,2,6840.41,0.0,0.0,0.0,3.08,7.88,0.0,7.88,78.75,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,204,0,1,880.0,7616.07,5302.87,2443.77,2,7491.84,0.0,0.0,0.0,3.07,34.62,0.0,34.62,86.55,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,206,0,1,880.0,6243.84,5302.87,2003.47,2,6162.71,0.0,0.0,0.0,3.08,7.1,0.0,7.1,70.95,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,21,0,1,1200.0,7985.82,4819.73,1879.1,2,7875.15,0.0,0.0,0.0,4.19,39.93,0.0,39.93,66.55,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,211,0,1,880.0,7672.4,5302.87,2461.85,2,7547.27,0.0,0.0,0.0,3.07,34.87,0.0,34.87,87.19,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,212,0,1,880.0,7547.31,5302.87,2421.71,2,7449.89,0.0,0.0,0.0,3.08,8.58,0.0,8.58,85.76,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,213,0,1,880.0,7338.81,5302.87,2354.81,2,7244.0,0.0,0.0,0.0,3.08,8.34,0.0,8.34,83.4,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,215,0,1,880.0,7412.93,5302.87,2378.59,2,7291.93,0.0,0.0,0.0,3.07,33.7,0.0,33.7,84.24,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,220,0,1,880.0,8484.8,5302.87,2722.52,2,8375.66,0.0,0.0,0.0,3.08,9.64,0.0,9.64,96.42,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,23,0,1,1200.0,7012.03,4819.73,1649.97,2,6914.34,0.0,0.0,0.0,4.19,35.06,0.0,35.06,58.43,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,234,0,1,880.0,8367.18,5302.87,2684.78,2,8230.55,0.45,0.0,0.45,3.07,38.03,0.0,38.03,95.08,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,248,0,1,880.0,8106.4,5302.87,2601.11,2,8001.99,0.0,0.0,0.0,3.08,9.21,0.0,9.21,92.12,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,252,0,1,880.0,8352.17,5302.87,2679.97,2,8244.69,0.0,0.0,0.0,3.08,9.49,0.0,9.49,94.91,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,253,0,1,880.0,7601.37,5302.87,2439.06,2,7477.37,0.0,0.0,0.0,3.07,34.55,0.0,34.55,86.38,0.0,880.0,0.0,0.0
bf_qcv_045,period_2,2,3,0,1,1200.0,7416.12,4819.73,1745.05,2,7313.05,0.0,0.0,0.0,4.19,37.08,0.0,37.08,61.8,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,32,0,1,1200.0,8255.11,4819.73,1942.47,2,8140.85,0.0,0.0,0.0,4.19,41.28,0.0,41.28,68.79,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,4,0,1,1200.0,8025.79,4819.73,1888.51,2,7914.59,0.0,0.0,0.0,4.19,40.13,0.0,40.13,66.88,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,48,0,1,1200.0,7701.29,4819.73,1812.15,2,7594.41,0.0,0.0,0.0,4.19,38.51,0.0,38.51,64.18,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,56,0,1,1200.0,7613.64,4819.73,1791.53,2,7507.93,0.0,0.0,0.0,4.19,38.07,0.0,38.07,63.45,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,72,0,1,1200.0,8036.24,4819.73,1890.97,2,7924.9,0.0,0.0,0.0,4.19,40.18,0.0,40.18,66.97,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,74,0,1,1200.0,8054.77,4819.73,1895.33,2,7816.39,126.79,119.06,7.73,4.19,40.27,0.0,40.27,67.12,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,83,0,1,1200.0,7994.35,4819.73,1881.11,2,7883.57,0.0,0.0,0.0,4.19,39.97,0.0,39.97,66.62,0.0,1200.0,0.0,0.0
bf_qcv_045,period_2,2,90,0,1,1000.0,8237.15,5288.27,2325.89,2,7690.19,0.0,0.0,0.0,3.31,461.28,0.0,461.28,82.37,0.0,1000.0,0.0,0.0
bf_qcv_045,period_2,2,256,1,1,717.0,44.0,4819.73,17.33,1,41.46,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,717.0,0.0,2.54
bf_qcv_045,period_2,2,257,1,1,494.0,11.65,5288.27,6.66,1,6.58,3.32,0.0,3.32,1.75,0.0,0.0,0.0,0.0,0.0,494.0,0.0,5.07
bf_qcv_045,period_2,2,258,1,1,436.0,7.92,5302.87,5.13,1,5.88,0.5,0.0,0.5,1.54,0.0,0.0,0.0,0.0,0.0,436.0,0.0,2.04
bf_qcv_045,period_3,3,109,0,1,1000.0,8036.79,5288.27,2269.32,2,7503.05,0.0,0.0,0.0,3.31,450.06,0.0,450.06,80.37,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,114,0,1,1000.0,9764.95,5288.27,2757.29,2,9117.16,0.0,0.0,0.0,3.31,546.84,0.0,546.84,97.65,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,119,0,1,1000.0,8730.4,5288.27,2465.17,2,8622.14,0.0,0.0,0.0,3.5,17.46,0.0,17.46,87.3,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,120,0,1,1000.0,8424.14,5288.27,2378.69,2,8092.2,0.0,0.0,0.0,3.4,244.3,0.0,244.3,84.24,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,136,0,1,1000.0,9049.37,5288.27,2555.24,2,8693.04,0.0,0.0,0.0,3.4,262.43,0.0,262.43,90.49,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,142,0,1,1000.0,8859.15,5288.27,2501.52,2,8749.34,0.0,0.0,0.0,3.5,17.72,0.0,17.72,88.59,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,145,0,1,1000.0,8038.62,5288.27,2269.83,2,7504.76,0.0,0.0,0.0,3.31,450.16,0.0,450.16,80.39,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,157,0,1,1000.0,9296.83,5288.27,2625.11,2,9165.68,16.09,16.09,0.0,3.5,18.59,0.0,18.59,92.97,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,165,0,1,1000.0,8589.81,5288.27,2425.47,2,8251.4,0.0,0.0,0.0,3.4,249.1,0.0,249.1,85.9,0.0,1000.0,0.0,0.0
bf_qcv_045,period_3,3,168,0,1,880.0,8196.89,5302.87,2630.14,2,8063.42,0.0,0.0,0.0,3.07,37.26,0.0,37.26,93.15,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,174,0,1,880.0,7125.05,5302.87,2286.22,2,7032.91,0.0,0.0,0.0,3.08,8.1,0.0,8.1,80.97,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,176,0,1,880.0,7459.93,5302.87,2393.67,2,7363.6,0.0,0.0,0.0,3.08,8.48,0.0,8.48,84.77,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,180,0,1,880.0,8764.2,5302.87,2812.18,2,8621.7,0.0,0.0,0.0,3.07,39.84,0.0,39.84,99.59,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,181,0,1,880.0,7321.08,5302.87,2349.12,2,7226.49,0.0,0.0,0.0,3.08,8.32,0.0,8.32,83.19,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,186,0,1,880.0,7381.95,5302.87,2368.65,2,7261.44,0.0,0.0,0.0,3.07,33.55,0.0,33.55,83.89,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,192,0,1,880.0,7480.06,5302.87,2400.13,2,7383.48,0.0,0.0,0.0,3.08,8.5,0.0,8.5,85.0,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,196,0,1,880.0,7155.48,5302.87,2295.98,2,7038.58,0.0,0.0,0.0,3.07,32.52,0.0,32.52,81.31,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,20,0,1,1200.0,5981.33,4819.73,1407.44,2,5897.39,0.0,0.0,0.0,4.19,29.91,0.0,29.91,49.84,0.0,1200.0,0.0,0.0
bf_qcv_045,period_3,3,203,0,1,880.0,7636.22,5302.87,2450.24,2,7511.15,0.51,0.0,0.51,3.07,34.71,0.0,34.71,86.78,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,204,0,1,880.0,7616.07,5302.87,2443.77,2,7491.84,0.0,0.0,0.0,3.07,34.62,0.0,34.62,86.55,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,21,0,1,1200.0,7985.82,4819.73,1879.1,2,7875.15,0.0,0.0,0.0,4.19,39.93,0.0,39.93,66.55,0.0,1200.0,0.0,0.0
bf_qcv_045,period_3,3,211,0,1,880.0,7672.4,5302.87,2461.85,2,7573.42,0.0,0.0,0.0,3.08,8.72,0.0,8.72,87.19,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,212,0,1,880.0,7547.31,5302.87,2421.71,2,7449.89,0.0,0.0,0.0,3.08,8.58,0.0,8.58,85.76,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,220,0,1,880.0,8484.8,5302.87,2722.52,2,8346.75,0.0,0.0,0.0,3.07,38.57,0.0,38.57,96.42,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,222,0,1,880.0,7362.83,5302.87,2362.52,2,7267.72,0.0,0.0,0.0,3.08,8.37,0.0,8.37,83.67,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,225,0,1,880.0,7640.29,5302.87,2451.55,2,7541.71,0.0,0.0,0.0,3.08,8.68,0.0,8.68,86.82,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,229,0,1,880.0,7358.24,5302.87,2361.04,2,7248.44,14.75,14.75,0.0,3.08,8.36,0.0,8.36,83.62,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,234,0,1,880.0,8367.18,5302.87,2684.78,2,8231.0,0.0,0.0,0.0,3.07,38.03,0.0,38.03,95.08,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,239,0,1,880.0,7477.33,5302.87,2399.26,2,7380.79,0.0,0.0,0.0,3.08,8.5,0.0,8.5,84.97,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,243,0,1,880.0,7486.51,5302.87,2402.2,2,7389.85,0.0,0.0,0.0,3.08,8.51,0.0,8.51,85.07,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,248,0,1,880.0,8106.4,5302.87,2601.11,2,7974.37,0.0,0.0,0.0,3.07,36.85,0.0,36.85,92.12,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,251,0,1,880.0,7522.41,5302.87,2413.72,2,7399.67,0.0,0.0,0.0,3.07,34.19,0.0,34.19,85.48,0.0,880.0,0.0,0.0
bf_qcv_045,period_3,3,252,0,1,880.0,8352.17,5302.87,2679.97,2,8216.23,0.0,0.0,0.0,3.07,37.96,0.0,37.96,94.91,0.0,880.0,0.0,0.0
