
Gurobi 13.0.2 (linux64, Python) logging started Sat Aug 22 12:22:36 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_qcv_045/weighted_loss/retail_y_2__retail_v_2__retail_v_2__rolled_leftover_2/period_2/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 62981 rows, 50385 columns and 167574 nonzeros (Min)
Model fingerprint: 0x84fe2fe2
Model has 20430 linear objective coefficients and an objective constant of 2557.6430168
Variable types: 40614 continuous, 9771 integer (9771 binary)
Coefficient statistics:
  Matrix range     [7e-03, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 8e+04]

Presolve removed 45192 rows and 36152 columns
Presolve time: 0.32s
Presolved: 17789 rows, 14233 columns, 75130 nonzeros
Variable types: 9404 continuous, 4829 integer (4829 binary)
Found heuristic solution: objective 1.817996e+07
Found heuristic solution: objective 4988801.1584

Root relaxation: objective 1.567481e+06, 11914 iterations, 0.89 seconds (0.96 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1583193.46    0  191 1663819.20 1583193.46  4.85%     -    8s
H    0     0                    1663360.8761 1583200.38  4.82%     -    9s
H    0     0                    1663055.6127 1583200.38  4.80%     -    9s
H    0     0                    1662318.6810 1583200.38  4.76%     -    9s
     0     0 1583200.55    0  192 1662318.68 1583200.55  4.76%     -    9s
     0     0 1583204.77    0  190 1662318.68 1583204.77  4.76%     -    9s
     0     0 1583478.55    0  197 1662318.68 1583478.55  4.74%     -    9s
     0     0 1583718.87    0  176 1662318.68 1583718.87  4.73%     -    9s
     0     0 1583748.83    0  190 1662318.68 1583748.83  4.73%     -    9s
     0     0 1583808.99    0  187 1662318.68 1583808.99  4.72%     -   10s
     0     0 1583809.22    0  188 1662318.68 1583809.22  4.72%     -   10s
     0     0 1583987.16    0  197 1662318.68 1583987.16  4.71%     -   10s
     0     0 1583997.28    0  205 1662318.68 1583997.28  4.71%     -   10s
     0     0 1584005.01    0  201 1662318.68 1584005.01  4.71%     -   10s
     0     0 1584006.18    0  201 1662318.68 1584006.18  4.71%     -   10s
     0     0 1584153.44    0  203 1662318.68 1584153.44  4.70%     -   10s
H    0     0                    1662247.5647 1584154.82  4.70%     -   10s
     0     0 1584179.20    0  197 1662247.56 1584179.20  4.70%     -   10s
     0     0 1584181.89    0  196 1662247.56 1584181.89  4.70%     -   10s
     0     0 1584250.28    0  192 1662247.56 1584250.28  4.69%     -   11s
     0     0 1584274.61    0  188 1662247.56 1584274.61  4.69%     -   11s
     0     0 1584284.44    0  181 1662247.56 1584284.44  4.69%     -   11s
